blockno,xmin,ymin,xmax,ymax,label
0,1075,1121,1202,1177,feder
0,510,1124,634,1177,feder
0,700,1123,826,1177,feder
0,881,1132,998,1177,feder
0,1296,501,1351,552,feder
0,1485,501,1533,553,feder
1,2051,1126,2105,1177,feder
1,1666,499,1723,552,feder
1,1830,1115,1945,1177,feder
3,713,1608,783,1664,connecter
3,538,1603,599,1660,connecter
3,897,1608,967,1666,connecter
3,1568,2227,1636,2286,connecter
3,1091,1605,1167,1659,connecter
3,1272,1593,1358,1658,connecter
3,1469,1608,1535,1657,connecter
3,1304,1695,1357,1777,stp
3,1500,1701,1556,1773,stp
3,1473,1761,1555,1906,tp
3,530,1764,611,1898,tp
3,1280,1763,1366,1891,tp
3,719,1777,799,1912,tp
3,923,1764,989,1888,tp
3,1082,1763,1170,1913,tp
4,2241,1608,2294,1663,connecter
4,1849,1621,1919,1681,connecter
4,2039,1615,2106,1673,connecter
4,1666,1614,1723,1670,connecter
4,1686,1690,1743,1762,stp
4,2053,1673,2112,1756,stp
4,2030,1766,2121,1906,tp
4,1841,1766,1930,1913,tp
4,1668,1753,1745,1888,tp
4,2221,1757,2309,1909,tp
5,4528,1841,4592,1937,feder
6,1579,2483,1643,2555,connecter
6,1576,2819,1647,2878,connecter
6,1574,2709,1647,2823,tp
Sr No.,Shape,Vertices,x_min,y_min,x_max,y_max,Value,Attribute = TEXT
1,Rectangle,4,1286,437,1355,458,ISD FOR
2,Rectangle,4,1287,454,1358,482,VRF­02
3,Rectangle,4,1286,478,1314,506,aw
4,Rectangle,4,1475,437,1544,458,ISO FOR
5,Rectangle,4,1476,455,1543,481,VRF­03
6,Rectangle,4,1475,478,1489,506,a
7,Rectangle,4,1663,437,1732,457,ISQ FOR
8,Rectangle,4,1664,455,1732,481,VRF­04
9,Rectangle,4,1664,471,1733,507,meee
10,Rectangle,4,2753,565,2980,607,ROOF FLOOR
11,Rectangle,4,2744,925,2980,971,FIRST FLOOR
12,Rectangle,4,530,1048,606,1081,DB­GF
13,Rectangle,4,491,1078,640,1106,(GUEST VILLA)
14,Rectangle,4,522,1099,608,1129,9.30 kW
15,Rectangle,4,719,1050,789,1080,OB­GF
16,Rectangle,4,712,1078,798,1106,(MAJLIS)
17,Rectangle,4,705,1100,802,1129,19.41 kW
18,Rectangle,4,876,1049,1223,1084,DB­cr (SP4 DB­GF (SERVANT
19,Rectangle,4,906,1080,984,1108,BLOCK)
20,Rectangle,4,1099,1081,1165,1107,ROOM)
21,Rectangle,4,894,1102,991,1131,15.89 kW
22,Rectangle,4,1081,1100,1182,1131,28.59 kw
23,Rectangle,4,1854,1148,1867,1160,(er)
24,Rectangle,4,1822,1036,1951,1061,cP FOR WATER
25,Rectangle,4,1817,1061,1957,1083,TRANSFER PUMP
26,Rectangle,4,1857,1082,1918,1106,S.63kW
27,Rectangle,4,2042,1034,2110,1062,80 FOR
28,Rectangle,4,2028,1061,2122,1083,LANDSCAPE
29,Rectangle,4,2040,1085,2111,1106,LIGHTING
30,Rectangle,4,2046,1105,2106,1129,6.00kW
31,Rectangle,4,3972,1194,4031,1217,METER
32,Rectangle,4,3959,1220,4031,1243,CABINET
33,Rectangle,4,2378,1244,2689,1269,AC x 50 SQ.MM XLPE/SWA/PVC/CU
34,Rectangle,4,2378,1271,2660,1295,+ 10 x 25 SQ.MM PVC/CU ECC
35,Rectangle,4,4224,1246,4262,1269,MDB
36,Rectangle,4,422,1633,443,1708,(
37,Rectangle,4,1307,1654,1404,1703,a Sse
38,Rectangle,4,1366,1709,1419,1732,160mA
39,Rectangle,4,613,1758,629,1776,ao
40,Rectangle,4,609,1771,626,1808,8
41,Rectangle,4,557,1825,626,1895,| <
42,Rectangle,4,609,1889,624,1912,st
43,Rectangle,4,498,1926,773,1966,"400A, 400V TPN+E CUBUSBAR"
44,Rectangle,4,499,1956,598,2002,RY 8
45,Rectangle,4,574,1983,594,2026,8
46,Rectangle,4,1141,2045,1163,2089,=
47,Rectangle,4,503,2152,627,2192,EARTHBAR
48,Rectangle,4,421,2184,442,2227,\.
49,Rectangle,4,164,2227,462,2267,210x150 SQ.MM PVC/CU ECC
50,Rectangle,4,494,2286,605,2327,t—6 MIR
51,Rectangle,4,457,2402,678,2442,EARTHPITEARTHPIT
52,Rectangle,4,1087,2402,1539,2442,1X 46 x 300 SQ.MM XLPE/SWA/PVC/CU
53,Rectangle,4,1087,2426,1505,2467,+ 1x 1C x 150 SQ.MM PVC/CU ECC
54,Rectangle,4,1603,2406,1619,2441,L
55,Rectangle,4,1639,2577,1678,2621,aa
56,Rectangle,4,1603,2605,1616,2646,r
57,Rectangle,4,1604,2685,1628,2713,tO
58,Rectangle,4,1738,2585,1819,2620,400/54
59,Rectangle,4,1738,2617,1842,2643,CT+METER
60,Rectangle,4,1682,2646,1783,2709,­S­8 8RY
61,Rectangle,4,1645,2744,1777,2769,4004 4P MCCB
62,Rectangle,4,1647,2769,1688,2792,S5kA
63,Rectangle,4,1781,2676,1790,2692,B
64,Rectangle,4,3855,2434,4236,2483,1:­ COMPOUND WALL
65,Rectangle,4,3853,2482,4475,2530,2:­ WEATHER PROOF (IP 55) METEF
66,Rectangle,4,3853,2530,4474,2578,3:­ TRANSPARENT VIEWING WINDO
67,Rectangle,4,3853,2571,4466,2619,4:­ HINGED DOOR WITH PROVISION
68,Rectangle,4,3914,2616,4369,2663,"SEALING & PAD LOCKING,"
69,Rectangle,4,3853,2663,4291,2711,5:­ CABLE (GLAND) BOX.
70,Rectangle,4,3853,2710,4476,2758,6:­ POSITION OF INCOMER BREAKE
71,Rectangle,4,3853,2751,4473,2805,7:­ 15/10 em PVC. PIPE SLEEVE FO
72,Rectangle,4,3919,2801,4213,2849,SERVICE CABLE.
73,Rectangle,4,1592,2880,1605,2908,4
74,Rectangle,4,1645,2866,1777,2910,BYDEWA
75,Rectangle,4,1585,2976,1628,2996,FROM
76,Rectangle,4,1567,2998,1642,3022,METER­2
77,Rectangle,4,2699,2986,2980,3029,GROUND FLOOR
78,Rectangle,4,3853,2843,4473,2897,8:­ 15/10 cm PVC. PIPE SLEEVE FO
79,Rectangle,4,3923,2892,4161,2940,LOAD CABLE.
